"","prop1.G1.residue0","prop1.G1.residue25","prop1.G1.residue50","prop1.G1.residue75","prop1.G1.residue100","prop1.G2.residue0","prop1.G2.residue25","prop1.G2.residue50","prop1.G2.residue75","prop1.G2.residue100","prop1.G3.residue0","prop1.G3.residue25","prop1.G3.residue50","prop1.G3.residue75","prop1.G3.residue100","prop2.G1.residue0","prop2.G1.residue25","prop2.G1.residue50","prop2.G1.residue75","prop2.G1.residue100","prop2.G2.residue0","prop2.G2.residue25","prop2.G2.residue50","prop2.G2.residue75","prop2.G2.residue100","prop2.G3.residue0","prop2.G3.residue25","prop2.G3.residue50","prop2.G3.residue75","prop2.G3.residue100","prop3.G1.residue0","prop3.G1.residue25","prop3.G1.residue50","prop3.G1.residue75","prop3.G1.residue100","prop3.G2.residue0","prop3.G2.residue25","prop3.G2.residue50","prop3.G2.residue75","prop3.G2.residue100","prop3.G3.residue0","prop3.G3.residue25","prop3.G3.residue50","prop3.G3.residue75","prop3.G3.residue100","prop4.G1.residue0","prop4.G1.residue25","prop4.G1.residue50","prop4.G1.residue75","prop4.G1.residue100","prop4.G2.residue0","prop4.G2.residue25","prop4.G2.residue50","prop4.G2.residue75","prop4.G2.residue100","prop4.G3.residue0","prop4.G3.residue25","prop4.G3.residue50","prop4.G3.residue75","prop4.G3.residue100","prop5.G1.residue0","prop5.G1.residue25","prop5.G1.residue50","prop5.G1.residue75","prop5.G1.residue100","prop5.G2.residue0","prop5.G2.residue25","prop5.G2.residue50","prop5.G2.residue75","prop5.G2.residue100","prop5.G3.residue0","prop5.G3.residue25","prop5.G3.residue50","prop5.G3.residue75","prop5.G3.residue100","prop6.G1.residue0","prop6.G1.residue25","prop6.G1.residue50","prop6.G1.residue75","prop6.G1.residue100","prop6.G2.residue0","prop6.G2.residue25","prop6.G2.residue50","prop6.G2.residue75","prop6.G2.residue100","prop6.G3.residue0","prop6.G3.residue25","prop6.G3.residue50","prop6.G3.residue75","prop6.G3.residue100","prop7.G1.residue0","prop7.G1.residue25","prop7.G1.residue50","prop7.G1.residue75","prop7.G1.residue100","prop7.G2.residue0","prop7.G2.residue25","prop7.G2.residue50","prop7.G2.residue75","prop7.G2.residue100","prop7.G3.residue0","prop7.G3.residue25","prop7.G3.residue50","prop7.G3.residue75","prop7.G3.residue100"
"3C5NA",0.813008130081301,21.5447154471545,45.1219512195122,70.3252032520325,100,0.40650406504065,24.390243902439,48.780487804878,75.2032520325203,99.1869918699187,1.6260162601626,26.0162601626016,53.2520325203252,76.8292682926829,99.5934959349593,0.40650406504065,25.609756097561,51.6260162601626,77.6422764227642,100,1.21951219512195,32.520325203252,54.0650406504065,72.7642276422764,98.3739837398374,0.813008130081301,15.0406504065041,37.3983739837398,69.9186991869919,99.5934959349593,1.6260162601626,25.2032520325203,53.2520325203252,78.4552845528455,99.5934959349593,0.40650406504065,25.609756097561,48.780487804878,74.390243902439,99.1869918699187,0.813008130081301,21.5447154471545,45.1219512195122,70.3252032520325,100,3.65853658536585,26.4227642276423,50.4065040650407,78.8617886178862,100,0.40650406504065,30.4878048780488,54.0650406504065,71.9512195121951,98.3739837398374,0.813008130081301,15.0406504065041,37.3983739837398,69.9186991869919,99.5934959349593,0.813008130081301,11.3821138211382,28.8617886178862,58.5365853658537,93.0894308943089,0.40650406504065,28.0487804878049,51.6260162601626,76.4227642276423,99.5934959349593,1.21951219512195,26.4227642276423,58.130081300813,84.1463414634146,100,0.813008130081301,20.3252032520325,46.3414634146341,69.9186991869919,98.3739837398374,1.6260162601626,26.0162601626016,53.6585365853659,78.8617886178862,99.5934959349593,0.40650406504065,28.4552845528455,50.4065040650407,73.1707317073171,100,1.6260162601626,29.2682926829268,51.6260162601626,79.6747967479675,99.5934959349593,0.813008130081301,21.5447154471545,45.1219512195122,70.3252032520325,100,0.40650406504065,22.3577235772358,48.780487804878,71.5447154471545,99.1869918699187
"4ZRLB",7.79220779220779,28.5714285714286,61.038961038961,83.1168831168831,98.7012987012987,2.5974025974026,15.5844155844156,37.6623376623377,66.2337662337662,100,1.2987012987013,16.8831168831169,44.1558441558442,55.8441558441558,89.6103896103896,2.5974025974026,22.0779220779221,38.961038961039,72.7272727272727,100,7.79220779220779,28.5714285714286,55.8441558441558,75.3246753246753,98.7012987012987,1.2987012987013,12.987012987013,44.1558441558442,68.8311688311688,97.4025974025974,1.2987012987013,16.8831168831169,44.1558441558442,57.1428571428571,92.2077922077922,2.5974025974026,15.5844155844156,37.6623376623377,72.7272727272727,100,3.8961038961039,28.5714285714286,61.038961038961,80.5194805194805,98.7012987012987,2.5974025974026,22.0779220779221,38.961038961039,72.7272727272727,100,7.79220779220779,28.5714285714286,55.8441558441558,71.4285714285714,98.7012987012987,1.2987012987013,12.987012987013,44.1558441558442,68.8311688311688,97.4025974025974,12.987012987013,25.974025974026,41.5584415584416,85.7142857142857,97.4025974025974,1.2987012987013,22.0779220779221,48.0519480519481,71.4285714285714,100,18.1818181818182,20.7792207792208,53.2467532467532,67.5324675324675,98.7012987012987,1.2987012987013,28.5714285714286,49.3506493506493,77.9220779220779,100,6.49350649350649,16.8831168831169,45.4545454545455,63.6363636363636,94.8051948051948,5.19480519480519,20.7792207792208,48.0519480519481,67.5324675324675,93.5064935064935,2.5974025974026,22.0779220779221,44.1558441558442,57.1428571428571,100,7.79220779220779,28.5714285714286,61.038961038961,83.1168831168831,98.7012987012987,1.2987012987013,9.09090909090909,37.6623376623377,66.2337662337662,94.8051948051948
"2VXTI",2.54777070063694,23.5668789808917,54.140127388535,81.5286624203822,100,0.636942675159236,27.3885350318471,45.859872611465,68.7898089171974,96.8152866242038,1.27388535031847,19.1082802547771,47.1337579617834,73.2484076433121,97.4522292993631,1.91082802547771,24.203821656051,45.859872611465,68.7898089171974,100,3.18471337579618,16.5605095541401,49.6815286624204,77.0700636942675,99.3630573248408,0.636942675159236,28.0254777070064,53.5031847133758,76.4331210191083,96.1783439490446,0.636942675159236,19.1082802547771,47.1337579617834,76.4331210191083,97.4522292993631,1.91082802547771,27.3885350318471,45.859872611465,68.1528662420382,96.8152866242038,2.54777070063694,23.5668789808917,54.140127388535,77.0700636942675,100,1.91082802547771,24.203821656051,45.859872611465,70.0636942675159,100,3.18471337579618,18.4713375796178,49.6815286624204,73.8853503184713,99.3630573248408,0.636942675159236,28.0254777070064,53.5031847133758,76.4331210191083,96.1783439490446,2.54777070063694,24.8407643312102,50.3184713375796,71.3375796178344,93.6305732484076,0.636942675159236,24.203821656051,47.1337579617834,71.9745222929936,98.7261146496815,3.82165605095541,22.2929936305732,57.3248407643312,82.8025477707006,100,2.54777070063694,24.8407643312102,50.3184713375796,80.8917197452229,99.3630573248408,0.636942675159236,28.6624203821656,45.2229299363057,64.968152866242,97.4522292993631,1.91082802547771,22.2929936305732,47.7707006369427,68.7898089171974,100,1.27388535031847,18.4713375796178,45.2229299363057,77.7070063694268,97.4522292993631,2.54777070063694,23.5668789808917,54.140127388535,81.5286624203822,100,0.636942675159236,28.6624203821656,46.4968152866242,68.1528662420382,96.8152866242038
"6YPCT",1.36239782016349,24.2506811989101,46.866485013624,72.4795640326976,100,0.544959128065395,22.6158038147139,45.5040871934605,65.3950953678474,99.4550408719346,0.272479564032698,30.7901907356948,58.0381471389646,83.9237057220708,99.7275204359673,0.544959128065395,23.7057220708447,47.4114441416894,66.7574931880109,97.5476839237057,2.72479564032698,27.2479564032698,54.4959128065395,78.7465940054496,100,0.272479564032698,18.2561307901907,46.0490463215259,77.6566757493188,99.7275204359673,0.272479564032698,30.7901907356948,58.0381471389646,84.1961852861035,99.7275204359673,0.544959128065395,22.0708446866485,45.2316076294278,63.2152588555858,97.5476839237057,1.36239782016349,24.2506811989101,46.866485013624,72.4795640326976,100,0.544959128065395,23.1607629427793,45.5040871934605,66.7574931880109,97.5476839237057,1.08991825613079,28.0653950953678,54.4959128065395,77.3841961852861,100,0.272479564032698,18.2561307901907,46.0490463215259,77.6566757493188,99.7275204359673,1.36239782016349,12.8065395095368,38.9645776566758,70.5722070844687,96.7302452316076,0.272479564032698,25.0681198910082,50.6811989100817,76.8392370572207,100,3.26975476839237,28.3378746594005,54.7683923705722,67.574931880109,98.6376021798365,0.272479564032698,21.7983651226158,47.1389645776567,76.566757493188,100,0.817438692098093,26.4305177111717,52.0435967302452,79.291553133515,99.7275204359673,0.544959128065395,25.8855585831063,49.8637602179837,68.6648501362398,98.9100817438692,1.90735694822888,26.158038147139,53.133514986376,79.8365122615804,99.7275204359673,1.36239782016349,24.2506811989101,46.866485013624,72.4795640326976,100,0.272479564032698,23.9782016348774,48.5013623978202,67.0299727520436,99.4550408719346
"5D9GA",3.65853658536585,27.6422764227642,51.6260162601626,75.2032520325203,100,0.40650406504065,20.3252032520325,43.0894308943089,76.8292682926829,99.5934959349593,1.21951219512195,25.609756097561,56.9105691056911,72.7642276422764,99.1869918699187,0.40650406504065,20.7317073170732,42.6829268292683,73.1707317073171,99.5934959349593,4.0650406504065,28.4552845528455,55.2845528455285,74.7967479674797,100,0.813008130081301,23.1707317073171,52.8455284552846,75.2032520325203,99.1869918699187,1.21951219512195,26.8292682926829,56.9105691056911,74.390243902439,99.1869918699187,0.40650406504065,20.3252032520325,42.2764227642276,73.5772357723577,99.5934959349593,0.813008130081301,27.2357723577236,50.8130081300813,75.2032520325203,100,0.40650406504065,20.3252032520325,42.2764227642276,64.6341463414634,96.3414634146341,2.84552845528455,28.4552845528455,55.2845528455285,78.8617886178862,100,0.813008130081301,23.1707317073171,52.8455284552846,75.2032520325203,99.1869918699187,3.65853658536585,30.0813008130081,52.8455284552846,72.3577235772358,97.9674796747967,0.40650406504065,22.3577235772358,48.3739837398374,74.390243902439,99.5934959349593,8.94308943089431,32.1138211382114,51.6260162601626,73.1707317073171,100,0.813008130081301,23.9837398373984,50.8130081300813,74.390243902439,100,3.2520325203252,31.3008130081301,51.219512195122,74.7967479674797,99.1869918699187,0.40650406504065,20.3252032520325,43.9024390243902,73.1707317073171,99.5934959349593,0.40650406504065,22.3577235772358,48.3739837398374,71.1382113821138,99.1869918699187,3.65853658536585,27.6422764227642,51.6260162601626,75.2032520325203,100,0.813008130081301,19.9186991869919,49.1869918699187,80.4878048780488,99.5934959349593
"1UNLD",0.480769230769231,30.2884615384615,55.7692307692308,84.1346153846154,100,0.961538461538462,12.0192307692308,34.6153846153846,64.9038461538462,98.5576923076923,7.21153846153846,36.5384615384615,53.8461538461538,75.9615384615385,99.0384615384615,0.961538461538462,13.9423076923077,36.0576923076923,66.8269230769231,99.5192307692308,0.480769230769231,32.2115384615385,54.3269230769231,78.3653846153846,99.0384615384615,12.9807692307692,31.7307692307692,58.1730769230769,77.4038461538462,100,7.21153846153846,37.0192307692308,54.3269230769231,74.0384615384615,99.0384615384615,0.961538461538462,10.5769230769231,27.4038461538462,62.0192307692308,98.5576923076923,0.480769230769231,30.2884615384615,55.7692307692308,84.1346153846154,100,2.40384615384615,16.8269230769231,43.2692307692308,68.75,99.5192307692308,0.480769230769231,25.4807692307692,49.5192307692308,72.5961538461538,99.0384615384615,12.9807692307692,31.7307692307692,58.1730769230769,77.4038461538462,100,12.9807692307692,25.9615384615385,38.4615384615385,77.4038461538462,100,0.480769230769231,22.1153846153846,48.0769230769231,71.6346153846154,99.0384615384615,24.5192307692308,39.9038461538462,58.6538461538462,86.0576923076923,99.5192307692308,0.480769230769231,25.9615384615385,51.4423076923077,77.4038461538462,100,9.61538461538461,30.7692307692308,50.9615384615385,71.6346153846154,89.9038461538462,0.961538461538462,12.0192307692308,44.7115384615385,71.1538461538462,99.5192307692308,2.40384615384615,27.4038461538462,49.5192307692308,72.5961538461538,99.0384615384615,0.480769230769231,30.2884615384615,55.7692307692308,84.1346153846154,100,0.961538461538462,14.4230769230769,38.9423076923077,66.3461538461538,93.2692307692308
"3FPZA",4.29447852760736,26.6871165644172,52.4539877300613,76.0736196319018,98.7730061349693,0.613496932515337,22.6993865030675,49.079754601227,73.6196319018405,100,0.306748466257669,27.9141104294479,47.8527607361963,73.9263803680982,99.3865030674847,0.613496932515337,22.0858895705521,49.079754601227,73.3128834355828,100,4.29447852760736,29.7546012269939,49.6932515337423,70.8588957055215,98.4662576687117,0.306748466257669,19.3251533742331,47.5460122699387,78.8343558282209,99.3865030674847,0.306748466257669,27.9141104294479,47.8527607361963,74.8466257668712,99.3865030674847,0.613496932515337,22.0858895705521,46.319018404908,72.3926380368098,100,4.29447852760736,26.9938650306748,53.9877300613497,77.6073619631902,99.079754601227,0.613496932515337,20.2453987730061,47.239263803681,74.2331288343558,100,4.29447852760736,29.4478527607362,49.6932515337423,70.5521472392638,98.4662576687117,0.306748466257669,19.3251533742331,47.5460122699387,78.8343558282209,99.3865030674847,9.50920245398773,16.8711656441718,36.8098159509202,68.0981595092025,98.7730061349693,0.306748466257669,25.1533742331288,50.3067484662577,74.8466257668712,100,8.58895705521472,20.5521472392638,52.4539877300613,76.9938650306748,97.5460122699387,0.306748466257669,27.9141104294479,51.2269938650307,80.0613496932515,100,1.22699386503067,21.1656441717791,46.6257668711656,66.2576687116564,99.3865030674847,0.613496932515337,23.0061349693252,49.079754601227,73.3128834355828,96.0122699386503,0.920245398773006,28.5276073619632,50.6134969325153,76.3803680981595,100,4.29447852760736,26.6871165644172,52.4539877300613,76.0736196319018,98.7730061349693,0.306748466257669,15.0306748466258,42.638036809816,69.0184049079755,99.079754601227
"2RKLA",7.54716981132075,22.6415094339623,39.622641509434,66.0377358490566,96.2264150943396,1.88679245283019,15.0943396226415,50.9433962264151,69.811320754717,98.1132075471698,13.2075471698113,20.7547169811321,52.8301886792453,81.1320754716981,100,1.88679245283019,15.0943396226415,50.9433962264151,71.6981132075472,98.1132075471698,11.3207547169811,33.9622641509434,52.8301886792453,79.2452830188679,100,7.54716981132075,16.9811320754717,30.188679245283,49.0566037735849,84.9056603773585,13.2075471698113,32.0754716981132,52.8301886792453,81.1320754716981,100,1.88679245283019,15.0943396226415,50.9433962264151,71.6981132075472,98.1132075471698,7.54716981132075,22.6415094339623,39.622641509434,66.0377358490566,96.2264150943396,1.88679245283019,15.0943396226415,50.9433962264151,73.5849056603774,98.1132075471698,11.3207547169811,33.9622641509434,58.4905660377358,79.2452830188679,100,7.54716981132075,16.9811320754717,30.188679245283,49.0566037735849,84.9056603773585,7.54716981132075,16.9811320754717,30.188679245283,47.1698113207547,84.9056603773585,1.88679245283019,28.3018867924528,52.8301886792453,73.5849056603774,100,9.43396226415094,11.3207547169811,33.9622641509434,66.0377358490566,90.5660377358491,7.54716981132075,26.4150943396226,45.2830188679245,73.5849056603774,94.3396226415094,5.66037735849057,15.0943396226415,37.7358490566038,62.2641509433962,100,1.88679245283019,9.43396226415094,54.7169811320755,69.811320754717,98.1132075471698,1.88679245283019,32.0754716981132,52.8301886792453,81.1320754716981,100,7.54716981132075,22.6415094339623,39.622641509434,66.0377358490566,96.2264150943396,3.77358490566038,15.0943396226415,49.0566037735849,69.811320754717,98.1132075471698
"5N86A",5.55555555555556,31.25,50,74.3055555555556,98.6111111111111,0.694444444444444,20.8333333333333,45.1388888888889,72.2222222222222,100,2.08333333333333,18.75,52.0833333333333,75.6944444444444,97.9166666666667,0.694444444444444,22.2222222222222,46.5277777777778,74.3055555555556,100,2.08333333333333,21.5277777777778,49.3055555555556,70.8333333333333,97.9166666666667,9.72222222222222,25.6944444444444,51.3888888888889,79.8611111111111,98.6111111111111,2.08333333333333,18.75,52.0833333333333,70.8333333333333,97.9166666666667,0.694444444444444,20.8333333333333,42.3611111111111,72.2222222222222,100,5.55555555555556,31.25,50.6944444444444,74.3055555555556,98.6111111111111,0.694444444444444,22.9166666666667,46.5277777777778,72.2222222222222,99.3055555555556,1.38888888888889,21.5277777777778,49.3055555555556,75,100,9.72222222222222,25.6944444444444,51.3888888888889,79.8611111111111,98.6111111111111,24.3055555555556,25.6944444444444,65.9722222222222,79.8611111111111,98.6111111111111,0.694444444444444,21.5277777777778,49.3055555555556,72.9166666666667,100,17.3611111111111,31.25,48.6111111111111,74.3055555555556,87.5,2.08333333333333,25.6944444444444,47.9166666666667,72.2222222222222,99.3055555555556,8.33333333333333,30.5555555555556,57.6388888888889,79.1666666666667,95.1388888888889,0.694444444444444,20.8333333333333,42.3611111111111,68.0555555555556,100,0.694444444444444,23.6111111111111,49.3055555555556,75.6944444444444,99.3055555555556,5.55555555555556,31.25,50,74.3055555555556,98.6111111111111,1.38888888888889,20.1388888888889,45.1388888888889,68.0555555555556,100
"5MBXA",1.20724346076459,27.7665995975855,51.5090543259557,72.8370221327968,99.7987927565392,0.201207243460765,21.5291750503018,48.4909456740443,77.8672032193159,99.5975855130785,1.40845070422535,25.1509054325956,49.8993963782696,72.4346076458752,100,0.201207243460765,22.1327967806841,47.4849094567404,75.6539235412475,99.5975855130785,1.40845070422535,24.9496981891348,50.1006036217304,72.8370221327968,100,1.20724346076459,26.7605633802817,51.9114688128773,74.2454728370221,99.7987927565392,1.40845070422535,25.7545271629779,50.9054325955734,73.4406438631791,100,0.201207243460765,20.7243460764588,47.0824949698189,76.4587525150905,99.5975855130785,1.20724346076459,27.5653923541248,51.5090543259557,73.6418511066398,99.7987927565392,0.201207243460765,21.9315895372233,46.4788732394366,77.4647887323944,99.1951710261569,0.603621730382294,25.7545271629779,51.1066398390342,72.635814889336,100,1.20724346076459,26.7605633802817,51.9114688128773,74.2454728370221,99.7987927565392,1.20724346076459,26.3581488933602,47.6861167002012,71.4285714285714,99.7987927565392,0.201207243460765,23.5412474849095,49.6981891348088,75.0503018108652,100,7.24346076458753,27.7665995975855,50.3018108651912,69.0140845070423,98.7927565392354,1.20724346076459,24.1448692152917,50.1006036217304,76.056338028169,100,1.40845070422535,29.9798792756539,51.7102615694165,72.2334004024145,98.5915492957746,0.201207243460765,21.5291750503018,47.4849094567404,75.0503018108652,99.5975855130785,0.201207243460765,20.3219315895372,47.2837022132797,72.2334004024145,100,1.20724346076459,27.7665995975855,51.5090543259557,72.8370221327968,99.7987927565392,0.603621730382294,25.3521126760563,51.7102615694165,79.6780684104628,99.5975855130785
