"","prop1.Tr1221","prop1.Tr1331","prop1.Tr2332","prop2.Tr1221","prop2.Tr1331","prop2.Tr2332","prop3.Tr1221","prop3.Tr1331","prop3.Tr2332","prop4.Tr1221","prop4.Tr1331","prop4.Tr2332","prop5.Tr1221","prop5.Tr1331","prop5.Tr2332","prop6.Tr1221","prop6.Tr1331","prop6.Tr2332","prop7.Tr1221","prop7.Tr1331","prop7.Tr2332"
"3C5NA",0.257142857142857,0.187755102040816,0.228571428571429,0.257142857142857,0.224489795918367,0.2,0.220408163265306,0.228571428571429,0.23265306122449,0.261224489795918,0.183673469387755,0.240816326530612,0.212244897959184,0.0244897959183673,0.142857142857143,0.23265306122449,0.289795918367347,0.142857142857143,0.281632653061224,0.191836734693878,0.163265306122449
"4ZRLB",0.315789473684211,0.184210526315789,0.118421052631579,0.223684210526316,0.210526315789474,0.223684210526316,0.131578947368421,0.25,0.276315789473684,0.184210526315789,0.197368421052632,0.236842105263158,0.131578947368421,0.0263157894736842,0.210526315789474,0.131578947368421,0.263157894736842,0.184210526315789,0.289473684210526,0.171052631578947,0.210526315789474
"2VXTI",0.237179487179487,0.192307692307692,0.192307692307692,0.288461538461538,0.192307692307692,0.237179487179487,0.185897435897436,0.205128205128205,0.224358974358974,0.282051282051282,0.173076923076923,0.256410256410256,0.198717948717949,0.0705128205128205,0.217948717948718,0.192307692307692,0.320512820512821,0.121794871794872,0.243589743589744,0.192307692307692,0.185897435897436
"6YPCT",0.229508196721311,0.23224043715847,0.169398907103825,0.308743169398907,0.166666666666667,0.163934426229508,0.169398907103825,0.248633879781421,0.218579234972678,0.297814207650273,0.155737704918033,0.174863387978142,0.169398907103825,0.0327868852459016,0.256830601092896,0.188524590163934,0.297814207650273,0.172131147540984,0.259562841530055,0.166666666666667,0.202185792349727
"5D9GA",0.23265306122449,0.236734693877551,0.204081632653061,0.224489795918367,0.179591836734694,0.277551020408163,0.179591836734694,0.302040816326531,0.2,0.204081632653061,0.151020408163265,0.306122448979592,0.2,0.036734693877551,0.228571428571429,0.281632653061224,0.212244897959184,0.142857142857143,0.289795918367347,0.204081632653061,0.179591836734694
"1UNLD",0.178743961352657,0.188405797101449,0.188405797101449,0.260869565217391,0.173913043478261,0.140096618357488,0.173913043478261,0.202898550724638,0.173913043478261,0.289855072463768,0.106280193236715,0.207729468599034,0.120772946859903,0.0289855072463768,0.144927536231884,0.202898550724638,0.289855072463768,0.154589371980676,0.246376811594203,0.227053140096618,0.120772946859903
"3FPZA",0.16,0.190769230769231,0.243076923076923,0.264615384615385,0.193846153846154,0.135384615384615,0.221538461538462,0.224615384615385,0.156923076923077,0.273846153846154,0.172307692307692,0.156923076923077,0.129230769230769,0.0184615384615385,0.172307692307692,0.209230769230769,0.258461538461538,0.16,0.218461538461538,0.264615384615385,0.132307692307692
"2RKLA",0.230769230769231,0.269230769230769,0.173076923076923,0.307692307692308,0.25,0.134615384615385,0.192307692307692,0.326923076923077,0.173076923076923,0.307692307692308,0.25,0.134615384615385,0.25,0.0576923076923077,0.173076923076923,0.307692307692308,0.307692307692308,0.0961538461538462,0.326923076923077,0.211538461538462,0.173076923076923
"5N86A",0.265734265734266,0.167832167832168,0.251748251748252,0.34965034965035,0.167832167832168,0.13986013986014,0.230769230769231,0.202797202797203,0.244755244755245,0.342657342657343,0.153846153846154,0.153846153846154,0.132867132867133,0.00699300699300699,0.160839160839161,0.251748251748252,0.251748251748252,0.153846153846154,0.272727272727273,0.27972027972028,0.160839160839161
"5MBXA",0.17741935483871,0.17741935483871,0.252016129032258,0.298387096774194,0.175403225806452,0.159274193548387,0.245967741935484,0.199596774193548,0.191532258064516,0.282258064516129,0.147177419354839,0.1875,0.104838709677419,0.0241935483870968,0.185483870967742,0.245967741935484,0.256048387096774,0.145161290322581,0.227822580645161,0.23991935483871,0.127016129032258
"6OAUC",0.238461538461538,0.153846153846154,0.2,0.353846153846154,0.223076923076923,0.0538461538461538,0.2,0.169230769230769,0.269230769230769,0.392307692307692,0.169230769230769,0.107692307692308,0.123076923076923,0.0153846153846154,0.153846153846154,0.246153846153846,0.284615384615385,0.138461538461538,0.184615384615385,0.238461538461538,0.207692307692308
"5LSID",0.300751879699248,0.165413533834586,0.263157894736842,0.300751879699248,0.233082706766917,0.165413533834586,0.233082706766917,0.210526315789474,0.285714285714286,0.285714285714286,0.203007518796992,0.195488721804511,0.210526315789474,0.0300751879699248,0.195488721804511,0.135338345864662,0.323308270676692,0.150375939849624,0.255639097744361,0.240601503759398,0.210526315789474
"1XIPA",0.180878552971576,0.227390180878553,0.27906976744186,0.343669250645995,0.136950904392765,0.147286821705426,0.258397932816537,0.248062015503876,0.170542635658915,0.322997416020672,0.121447028423773,0.162790697674419,0.116279069767442,0.0335917312661499,0.214470284237726,0.222222222222222,0.237726098191214,0.217054263565891,0.258397932816537,0.235142118863049,0.149870801033592
"6DK9A",0.206008583690987,0.175965665236052,0.253218884120172,0.291845493562232,0.201716738197425,0.171673819742489,0.253218884120172,0.218884120171674,0.180257510729614,0.274678111587983,0.158798283261803,0.214592274678112,0.128755364806867,0.0300429184549356,0.184549356223176,0.278969957081545,0.223175965665236,0.1931330472103,0.214592274678112,0.270386266094421,0.167381974248927
"3S8IA",0.170068027210884,0.251700680272109,0.244897959183673,0.299319727891156,0.183673469387755,0.163265306122449,0.217687074829932,0.26530612244898,0.183673469387755,0.258503401360544,0.149659863945578,0.197278911564626,0.136054421768707,0.0136054421768707,0.136054421768707,0.231292517006803,0.238095238095238,0.17687074829932,0.319727891156463,0.224489795918367,0.102040816326531
"7MY4A",0.246575342465753,0.191780821917808,0.301369863013699,0.287671232876712,0.246575342465753,0.178082191780822,0.246575342465753,0.219178082191781,0.232876712328767,0.273972602739726,0.205479452054795,0.219178082191781,0.164383561643836,0.0547945205479452,0.191780821917808,0.191780821917808,0.232876712328767,0.136986301369863,0.287671232876712,0.219178082191781,0.150684931506849
