"","class","pre"
"YGR282C_mRNA",1,0.651555067903223
"YLR143W_mRNA",1,0.337243102435443
"ENSMUSP00000127969.1",1,0.311546480613611
"ENSOCUP00000021782.2",1,0.550247560142056
"ENSBTAP00000035907.2",1,0.58369302196034
"W02G9.3",1,1.10413765427344
"YER003C_mRNA",1,0.65884898116308
"ENSP00000483117.1",1,1.01839621676427
"ENSP00000425147.1",1,0.912218850952951
"ENSELUP00000020572.1",1,-0.057870633405281
"ENSELUP00000023433.1",1,0.697596342219126
"ENSCHIP00000026460.1",1,0.951221328262236
"YDL189W_mRNA",1,0.914438373204371
"ENSCINP00000031674.1",1,0.484081533392562
"ENSP00000367787.3",1,1.0362891332318
"ENSMMUP00000020616.3",1,1.28773777658807
"ENSDARP00000050948.5",1,1.03626539499387
"ENSEBUP00000006455.1",1,0.471939448358483
"ENSTRUP00000057191.1",1,0.84075793776266
"ENSP00000356179.1",1,1.14265839410846
"ENSP00000435873.1",1,1.14601694311586
"ENSECAP00000012978.2",1,1.28608816156456
"F52C12.3",1,0.804807286127261
"ENSGALP00000014689.5",1,1.22967948355164
"ENSMUSP00000102716.1",1,1.12001666229216
"F58G11.2a",1,0.895707367258102
"YML126C_mRNA",1,0.863269160421906
"ENSCPOP00000030274.1",1,1.0192138243427
"ENSEBUP00000000130.1",1,1.00875092030375
"ENSOARP00000021835.1",1,1.00572330429034
"ENSP00000362807.4",1,1.13687693762898
"FBpp0081569",1,1.46724846855987
"YNL177C_mRNA",1,1.10695219151244
"ENSELUP00000010195.1",1,0.804229232112002
"ENSBTAP00000010706.4",1,1.03421565669618
"ENSCINP00000026560.2",1,1.12920456397539
"FBpp0291001",1,1.36736829565619
"F54C8.4a",1,0.974792960724327
"ENSMGAP00000019027.1",1,-0.419351039348675
"ENSP00000395591.1",1,0.86481306408383
"ENSORLP00000008519.2",1,0.86614001904579
"ENSRNOP00000014399.4",1,1.06798413480757
"FBpp0305158",1,0.475087438636275
"YNR019W_mRNA",1,1.1787373525854
"ENSP00000449762.1",1,0.998092890934861
"ENSEBUP00000023246.1",1,0.747165750409805
