"","hydrophobicity.Group1","hydrophobicity.Group2","hydrophobicity.Group3","normwaalsvolume.Group1","normwaalsvolume.Group2","normwaalsvolume.Group3","polarity.Group1","polarity.Group2","polarity.Group3","polarizability.Group1","polarizability.Group2","polarizability.Group3","charge.Group1","charge.Group2","charge.Group3","secondarystruct.Group1","secondarystruct.Group2","secondarystruct.Group3","solventaccess.Group1","solventaccess.Group2","solventaccess.Group3"
"3C5NA",0.349593495934959,0.353658536585366,0.296747967479675,0.369918699186992,0.357723577235772,0.272357723577236,0.333333333333333,0.304878048780488,0.361788617886179,0.304878048780488,0.422764227642276,0.272357723577236,0.146341463414634,0.75609756097561,0.0975609756097561,0.422764227642276,0.268292682926829,0.308943089430894,0.414634146341463,0.349593495934959,0.235772357723577
"4ZRLB",0.402597402597403,0.376623376623377,0.220779220779221,0.363636363636364,0.350649350649351,0.285714285714286,0.272727272727273,0.298701298701299,0.428571428571429,0.337662337662338,0.376623376623377,0.285714285714286,0.116883116883117,0.753246753246753,0.12987012987013,0.519480519480519,0.220779220779221,0.25974025974026,0.337662337662338,0.402597402597403,0.25974025974026
"2VXTI",0.407643312101911,0.286624203821656,0.305732484076433,0.35031847133758,0.369426751592357,0.280254777070064,0.331210191082803,0.254777070063694,0.414012738853503,0.312101910828025,0.407643312101911,0.280254777070064,0.140127388535032,0.687898089171974,0.171974522292994,0.414012738853503,0.261146496815287,0.32484076433121,0.35031847133758,0.407643312101911,0.24203821656051
"6YPCT",0.435967302452316,0.29700272479564,0.267029972752044,0.348773841961853,0.457765667574932,0.193460490463215,0.283378746594005,0.267029972752044,0.449591280653951,0.291553133514986,0.514986376021798,0.193460490463215,0.114441416893733,0.692098092643052,0.193460490463215,0.457765667574932,0.223433242506812,0.318801089918256,0.307901907356948,0.435967302452316,0.256130790190736
"5D9GA",0.317073170731707,0.349593495934959,0.333333333333333,0.341463414634146,0.365853658536585,0.292682926829268,0.365853658536585,0.276422764227642,0.357723577235772,0.284552845528455,0.422764227642276,0.292682926829268,0.117886178861789,0.727642276422764,0.154471544715447,0.475609756097561,0.276422764227642,0.247967479674797,0.386178861788618,0.317073170731707,0.296747967479675
"1UNLD",0.274038461538462,0.389423076923077,0.336538461538462,0.418269230769231,0.360576923076923,0.221153846153846,0.370192307692308,0.336538461538462,0.293269230769231,0.307692307692308,0.471153846153846,0.221153846153846,0.100961538461538,0.807692307692308,0.0913461538461538,0.432692307692308,0.25,0.317307692307692,0.423076923076923,0.274038461538462,0.302884615384615
"3FPZA",0.254601226993865,0.423312883435583,0.322085889570552,0.441717791411043,0.334355828220859,0.223926380368098,0.343558282208589,0.365030674846626,0.291411042944785,0.389570552147239,0.386503067484663,0.223926380368098,0.0828220858895705,0.809815950920245,0.107361963190184,0.411042944785276,0.291411042944785,0.297546012269939,0.47239263803681,0.254601226993865,0.273006134969325
"2RKLA",0.39622641509434,0.339622641509434,0.264150943396226,0.39622641509434,0.39622641509434,0.207547169811321,0.30188679245283,0.30188679245283,0.39622641509434,0.377358490566038,0.415094339622642,0.207547169811321,0.150943396226415,0.679245283018868,0.169811320754717,0.547169811320755,0.207547169811321,0.245283018867925,0.377358490566038,0.39622641509434,0.226415094339623
"5N86A",0.256944444444444,0.409722222222222,0.333333333333333,0.409722222222222,0.402777777777778,0.1875,0.347222222222222,0.368055555555556,0.284722222222222,0.361111111111111,0.451388888888889,0.1875,0.0694444444444444,0.847222222222222,0.0833333333333333,0.395833333333333,0.263888888888889,0.340277777777778,0.458333333333333,0.256944444444444,0.284722222222222
"5MBXA",0.269617706237425,0.402414486921529,0.327967806841046,0.420523138832998,0.364185110663984,0.215291750503018,0.3420523138833,0.360160965794769,0.297786720321932,0.348088531187123,0.436619718309859,0.215291750503018,0.0824949698189135,0.790744466800805,0.126760563380282,0.44466800804829,0.271629778672032,0.283702213279678,0.47887323943662,0.269617706237425,0.251509054325956
