"","prop1.Tr1221","prop1.Tr1331","prop1.Tr2332","prop2.Tr1221","prop2.Tr1331","prop2.Tr2332","prop3.Tr1221","prop3.Tr1331","prop3.Tr2332","prop4.Tr1221","prop4.Tr1331","prop4.Tr2332","prop5.Tr1221","prop5.Tr1331","prop5.Tr2332","prop6.Tr1221","prop6.Tr1331","prop6.Tr2332","prop7.Tr1221","prop7.Tr1331","prop7.Tr2332"
"ENSCINP00000007207.3",0.276450511945392,0.171786120591581,0.170648464163823,0.271899886234357,0.201365187713311,0.158134243458476,0.169510807736064,0.197952218430034,0.255972696245734,0.255972696245734,0.164960182025028,0.194539249146758,0.222980659840728,0.0341296928327645,0.16382252559727,0.176336746302617,0.265073947667804,0.14448236632537,0.238907849829352,0.161547212741752,0.209328782707622
"ENSTRUP00000057393.1",0.212230215827338,0.197841726618705,0.241007194244604,0.294964028776978,0.129496402877698,0.154676258992806,0.212230215827338,0.241007194244604,0.183453237410072,0.320143884892086,0.10431654676259,0.179856115107914,0.158273381294964,0.0143884892086331,0.165467625899281,0.237410071942446,0.276978417266187,0.161870503597122,0.251798561151079,0.219424460431655,0.158273381294964
"ENSDARP00000132131.1",0.261780104712042,0.0157068062827225,0.246073298429319,0.240837696335079,0.267015706806283,0.0575916230366492,0.246073298429319,0.0157068062827225,0.261780104712042,0.329842931937173,0.204188481675393,0.120418848167539,0.0942408376963351,0.031413612565445,0.0942408376963351,0.104712041884817,0.361256544502618,0.209424083769634,0.0994764397905759,0.319371727748691,0.178010471204188
"ENSGALP00000024462.4",0.178125,0.209375,0.2125,0.225,0.215625,0.2125,0.2,0.234375,0.190625,0.240625,0.18125,0.246875,0.20625,0.01875,0.11875,0.21875,0.246875,0.1375,0.2625,0.24375,0.125
"ENSGALP00000064711.2",0.304597701149425,0.183908045977011,0.201149425287356,0.218390804597701,0.218390804597701,0.17816091954023,0.21264367816092,0.229885057471264,0.270114942528736,0.264367816091954,0.172413793103448,0.224137931034483,0.235632183908046,0.028735632183908,0.201149425287356,0.264367816091954,0.172413793103448,0.183908045977011,0.224137931034483,0.189655172413793,0.264367816091954
"ENSEBUP00000020994.1",0.24609375,0.16796875,0.265625,0.2734375,0.16796875,0.23828125,0.234375,0.22265625,0.17578125,0.265625,0.12109375,0.28515625,0.1640625,0.03125,0.203125,0.25390625,0.22265625,0.125,0.2109375,0.234375,0.203125
"ENSP00000449396.1",0.246784565916399,0.147909967845659,0.190514469453376,0.270096463022508,0.162379421221865,0.140675241157556,0.173633440514469,0.190514469453376,0.231511254019293,0.27572347266881,0.132636655948553,0.170418006430868,0.141479099678457,0.0418006430868167,0.181672025723473,0.191318327974277,0.281350482315113,0.135048231511254,0.211414790996785,0.219453376205788,0.183279742765273
"ENSP00000443808.1",0.191489361702128,0.0851063829787234,0.329787234042553,0.276595744680851,0.24468085106383,0.127659574468085,0.308510638297872,0.106382978723404,0.170212765957447,0.287234042553192,0.170212765957447,0.202127659574468,0.159574468085106,0.0106382978723404,0.0106382978723404,0.24468085106383,0.25531914893617,0.138297872340426,0.138297872340426,0.319148936170213,0.138297872340426
"ENSFCAP00000038891.1",0.263959390862944,0.203045685279188,0.157360406091371,0.279187817258883,0.182741116751269,0.16751269035533,0.137055837563452,0.253807106598985,0.223350253807107,0.269035532994924,0.16243654822335,0.187817258883249,0.147208121827411,0.0355329949238579,0.16751269035533,0.253807106598985,0.197969543147208,0.16751269035533,0.279187817258883,0.187817258883249,0.187817258883249
"FBpp0308546",0.283018867924528,0.188679245283019,0.14622641509434,0.254716981132075,0.188679245283019,0.19811320754717,0.165094339622642,0.226415094339623,0.240566037735849,0.25,0.136792452830189,0.25,0.259433962264151,0.0330188679245283,0.136792452830189,0.188679245283019,0.254716981132075,0.150943396226415,0.292452830188679,0.179245283018868,0.179245283018868
"ENSMUSP00000115860.1",0.282958199356913,0.212218649517685,0.141479099678457,0.260450160771704,0.176848874598071,0.183279742765273,0.131832797427653,0.228295819935691,0.286173633440514,0.266881028938907,0.131832797427653,0.228295819935691,0.202572347266881,0.0289389067524116,0.260450160771704,0.192926045016077,0.270096463022508,0.090032154340836,0.286173633440514,0.163987138263666,0.209003215434084
"FBpp0292150",0.209424083769634,0.211169284467714,0.233856893542757,0.256544502617801,0.19022687609075,0.191972076788831,0.218150087260035,0.244328097731239,0.18673647469459,0.2478184991274,0.153577661431065,0.228621291448517,0.181500872600349,0.0383944153577661,0.158813263525305,0.225130890052356,0.207678883071553,0.200698080279232,0.270506108202443,0.232111692844677,0.150087260034904
"ENSELUP00000034739.1",0.260299625468165,0.178838951310861,0.195224719101124,0.277153558052434,0.179775280898876,0.172284644194757,0.177902621722846,0.211142322097378,0.239700374531835,0.283707865168539,0.136704119850187,0.215355805243446,0.199906367041198,0.0397940074906367,0.183988764044944,0.185861423220974,0.276685393258427,0.12687265917603,0.253277153558052,0.194288389513109,0.185861423220974
"T05A10.1m",0.260869565217391,0.181532944867772,0.181981174361273,0.291797400268938,0.147467503361721,0.146122814881219,0.162259076647243,0.213805468399821,0.242043926490363,0.294935006723442,0.118332586284178,0.175257731958763,0.137606454504706,0.0210667861945316,0.138502913491708,0.181084715374272,0.22635589421784,0.142536978933214,0.257731958762887,0.18691169878978,0.184670551322277
"ENSP00000464036.2",0.232997481108312,0.167506297229219,0.14735516372796,0.221662468513854,0.173803526448363,0.214105793450882,0.144836272040302,0.190176322418136,0.205289672544081,0.232997481108312,0.144836272040302,0.243073047858942,0.177581863979849,0.0994962216624685,0.205289672544081,0.132241813602015,0.251889168765743,0.10831234256927,0.222921914357683,0.168765743073048,0.177581863979849
"YDL040C_mRNA",0.22274325908558,0.220398593200469,0.211019929660023,0.266119577960141,0.169988276670574,0.22274325908558,0.169988276670574,0.275498241500586,0.181711606096131,0.253223915592028,0.140679953106682,0.252051582649472,0.194607268464244,0.0468933177022274,0.199296600234467,0.236811254396249,0.243845252051583,0.131301289566237,0.289566236811254,0.173505275498241,0.153575615474795
"ENSP00000371859.2",0.261736334405145,0.197427652733119,0.17427652733119,0.263665594855305,0.178778135048232,0.194855305466238,0.156270096463023,0.234726688102894,0.234726688102894,0.264308681672026,0.142122186495177,0.231511254019293,0.210289389067524,0.0546623794212219,0.202572347266881,0.205144694533762,0.261093247588424,0.12475884244373,0.271382636655949,0.167845659163987,0.187781350482315
"ENSP00000354468.4",0.213213213213213,0.201201201201201,0.219219219219219,0.243243243243243,0.219219219219219,0.213213213213213,0.195195195195195,0.237237237237237,0.201201201201201,0.24024024024024,0.168168168168168,0.264264264264264,0.183183183183183,0.045045045045045,0.165165165165165,0.249249249249249,0.27027027027027,0.138138138138138,0.249249249249249,0.198198198198198,0.165165165165165
"FBpp0072132",0.277628032345013,0.177897574123989,0.159029649595687,0.291105121293801,0.150943396226415,0.175202156334232,0.150943396226415,0.207547169811321,0.253369272237197,0.283018867924528,0.126684636118598,0.199460916442049,0.153638814016173,0.0296495956873315,0.148247978436658,0.172506738544474,0.30188679245283,0.123989218328841,0.266846361185984,0.196765498652291,0.188679245283019
"YMR300C_mRNA",0.275049115913556,0.18860510805501,0.229862475442043,0.280943025540275,0.174852652259332,0.182711198428291,0.204322200392927,0.239685658153242,0.227897838899804,0.278978388998035,0.141453831041257,0.216110019646365,0.18467583497053,0.031434184675835,0.18860510805501,0.220039292730845,0.229862475442043,0.19056974459725,0.271119842829077,0.18467583497053,0.192534381139489
"ENSSSCP00000010965.3",0.214750542299349,0.223427331887202,0.203904555314534,0.221258134490239,0.167028199566161,0.195227765726681,0.177874186550976,0.27114967462039,0.193058568329718,0.229934924078091,0.136659436008677,0.225596529284165,0.171366594360087,0.0281995661605206,0.193058568329718,0.262472885032538,0.195227765726681,0.140997830802603,0.27765726681128,0.234273318872017,0.160520607375271
"YLR025W_mRNA",0.225941422594142,0.234309623430962,0.184100418410042,0.326359832635983,0.158995815899582,0.179916317991632,0.171548117154812,0.246861924686192,0.230125523012552,0.330543933054393,0.154811715481172,0.184100418410042,0.188284518828452,0.0292887029288703,0.230125523012552,0.179916317991632,0.330543933054393,0.112970711297071,0.313807531380753,0.158995815899582,0.146443514644351
"ENSGALP00000048046.2",0.286163522012579,0.119496855345912,0.20440251572327,0.251572327044025,0.221698113207547,0.132075471698113,0.20440251572327,0.122641509433962,0.289308176100629,0.314465408805031,0.19496855345912,0.158805031446541,0.171383647798742,0.0330188679245283,0.165094339622642,0.15251572327044,0.29874213836478,0.182389937106918,0.229559748427673,0.237421383647799,0.176100628930818
"FBpp0289220",0.29695885509839,0.12701252236136,0.161001788908766,0.309481216457961,0.148479427549195,0.159212880143113,0.146690518783542,0.152057245080501,0.286225402504472,0.311270125223614,0.114490161001789,0.193202146690519,0.146690518783542,0.0339892665474061,0.202146690518784,0.18783542039356,0.277280858676207,0.144901610017889,0.202146690518784,0.191413237924866,0.221824686940966
"ENSORLP00000040100.1",0.2,0.197590361445783,0.219277108433735,0.253012048192771,0.209638554216867,0.212048192771084,0.214457831325301,0.216867469879518,0.2,0.267469879518072,0.180722891566265,0.240963855421687,0.202409638554217,0.0481927710843374,0.146987951807229,0.228915662650602,0.291566265060241,0.156626506024096,0.257831325301205,0.219277108433735,0.139759036144578
"FBpp0070792",0.23134328358209,0.201492537313433,0.216417910447761,0.294776119402985,0.186567164179104,0.169776119402985,0.223880597014925,0.235074626865672,0.212686567164179,0.307835820895522,0.154850746268657,0.201492537313433,0.197761194029851,0.0261194029850746,0.164179104477612,0.242537313432836,0.223880597014925,0.175373134328358,0.298507462686567,0.177238805970149,0.134328358208955
"ENSMUSP00000043138.8",0.273538156590684,0.210109018830525,0.177403369672944,0.275520317145689,0.199207135777998,0.154608523290387,0.154608523290387,0.254707631318137,0.252725470763132,0.262636273538157,0.146679881070367,0.207135777998018,0.197224975222993,0.0545094152626363,0.219028741328048,0.215064420218038,0.281466798810704,0.122893954410307,0.279484638255699,0.170465807730426,0.20416253716551
"ZC262.8",0.186813186813187,0.225274725274725,0.164835164835165,0.175824175824176,0.197802197802198,0.203296703296703,0.164835164835165,0.258241758241758,0.153846153846154,0.142857142857143,0.175824175824176,0.225274725274725,0.236263736263736,0.0604395604395604,0.104395604395604,0.263736263736264,0.225274725274725,0.120879120879121,0.241758241758242,0.21978021978022,0.17032967032967
"YKL155C_mRNA",0.251993620414673,0.253588516746411,0.172248803827751,0.229665071770335,0.197767145135566,0.207336523125997,0.161084529505582,0.299840510366826,0.218500797448166,0.221690590111643,0.164274322169059,0.240829346092504,0.213716108452951,0.0398724082934609,0.177033492822967,0.208931419457735,0.250398724082935,0.17384370015949,0.331738437001595,0.181818181818182,0.17384370015949
"ENSOARP00000013998.1",0.233463035019455,0.105058365758755,0.252918287937743,0.194552529182879,0.233463035019455,0.0933852140077821,0.237354085603113,0.151750972762646,0.22568093385214,0.268482490272374,0.178988326848249,0.147859922178988,0.178988326848249,0.0311284046692607,0.105058365758755,0.171206225680934,0.256809338521401,0.163424124513619,0.202334630350195,0.287937743190661,0.136186770428016
