,features_0,features_1,features_2,features_3,features_4,features_5,features_6,features_7,features_8,features_9,features_10,features_11,features_12,features_13,features_14,features_15,features_16,features_17,features_18,features_19,features_20,features_21,features_22,features_23,features_24,features_25,features_26,features_27,features_28,features_29,features_30,features_31,features_32
ENSCINP00000007207.3,-9.995455741882324,-18.797897338867188,-13.056082725524902,-18.918909072875977,0.19393405318260193,0.4595072269439697,-0.4809679687023163,0.13026508688926697,0.985098659992218,0.022568631917238235,-0.24093855917453766,0.3812451660633087,-0.0863475501537323,-0.22602351009845734,-0.8541859984397888,0.08742019534111023,0.079609714448452,0.3714105486869812,-1.3247911930084229,-1.30337655544281,-0.8913396596908569,-0.6816493272781372,-3.8891680240631104,-2.638678550720215,-7.938638210296631,-10.105667114257812,-8.31139087677002,-8.11624813079834,-1.3718315362930298,-1.6940176486968994,-1.732381820678711,-1.6720091104507446,-18.805688858032227
ENSTRUP00000057393.1,-9.45332145690918,-18.44301986694336,-12.661308288574219,-18.423646926879883,0.489803284406662,0.7916958928108215,-0.2892224192619324,0.40532365441322327,0.7748660445213318,-1.098644495010376,-0.014310667291283607,0.23551231622695923,-0.7281073331832886,-1.3543685674667358,-1.4343011379241943,-0.8867852091789246,-0.41717007756233215,-0.9124301671981812,-1.2983555793762207,-1.8078221082687378,-1.0068219900131226,-0.9975290298461914,-2.74253511428833,-0.5609466433525085,-5.904069900512695,-9.656778335571289,-7.462701320648193,-7.683102130889893,-1.3197871446609497,-1.6202147006988525,-1.550142526626587,-1.5566922426223755,-18.451927185058594
ENSDARP00000132131.1,-10.959362983703613,-19.731983184814453,-14.252418518066406,-19.9466609954834,0.15411940217018127,2.896383762359619,1.4981151819229126,0.8961326479911804,3.103745698928833,-0.6938944458961487,-2.7431681156158447,2.573887825012207,-0.6332677602767944,-1.3710087537765503,2.3576242923736572,0.1316307932138443,0.9696170091629028,0.8431395888328552,0.034063927829265594,-3.768927812576294,-1.4412221908569336,-2.394909620285034,-4.897188663482666,-3.0885062217712402,-6.942954063415527,-10.369158744812012,-9.145744323730469,-8.375875473022461,-1.63071870803833,-1.6647543907165527,-1.974381923675537,-1.86480712890625,-19.62735366821289
ENSGALP00000024462.4,-8.694258689880371,-17.396835327148438,-12.898290634155273,-17.392480850219727,0.9115413427352905,1.1195220947265625,-0.3383293151855469,0.5679640769958496,0.8856378793716431,-1.255776286125183,0.09598152339458466,0.2657540738582611,-0.824160635471344,-1.946420431137085,-0.9620038270950317,-0.9689532518386841,-0.5577961802482605,-1.2503890991210938,-0.9459735155105591,-2.08127760887146,-0.8723194599151611,-0.9823537468910217,-3.006526470184326,-0.7961611151695251,-5.713566303253174,-9.351520538330078,-6.3728837966918945,-6.733987808227539,-1.0715752840042114,-1.3936394453048706,-1.3072872161865234,-1.316861629486084,-17.450712203979492
ENSGALP00000064711.2,-8.967874526977539,-17.89729881286621,-11.395556449890137,-17.90042495727539,-0.3844568729400635,0.15801852941513062,-0.5215401649475098,-0.11277764290571213,0.9592951536178589,-0.5536816120147705,-0.17928192019462585,0.5867090821266174,-0.4930347204208374,-1.174765706062317,-1.6733046770095825,0.3797615170478821,-0.7659124135971069,-0.4166129231452942,-1.3366177082061768,-1.4353556632995605,-1.1941150426864624,-1.7064030170440674,-2.9074859619140625,-0.849911630153656,-4.805294990539551,-8.205428123474121,-6.1929731369018555,-6.212620735168457,-0.9794344305992126,-1.3928086757659912,-1.2606244087219238,-1.2946841716766357,-17.986265182495117
ENSEBUP00000020994.1,-9.582819938659668,-18.33847999572754,-12.676539421081543,-18.354801177978516,0.56980299949646,0.2297976166009903,-0.8448500633239746,-0.30452999472618103,0.03127793222665787,0.37570640444755554,-0.1800312101840973,-0.19849920272827148,-0.7309843897819519,-0.5608208179473877,-0.9555308818817139,-0.23893555998802185,0.01909014582633972,-0.7193694710731506,-1.0074318647384644,-1.2825506925582886,-1.1160962581634521,-0.46081244945526123,-1.8904263973236084,-1.2938024997711182,-7.439428806304932,-9.893373489379883,-7.980875015258789,-7.830810070037842,-1.4924908876419067,-1.690878987312317,-1.6905184984207153,-1.7394344806671143,-18.38222312927246
ENSP00000443808.1,-9.316756248474121,-17.525121688842773,-10.204065322875977,-17.533966064453125,0.502260684967041,0.4690518081188202,0.2063528299331665,-0.4840521216392517,0.24172893166542053,-0.9924914836883545,0.27169057726860046,-0.3685615360736847,-1.2794039249420166,-1.2779757976531982,0.3647010624408722,-1.1864897012710571,-0.46555575728416443,-1.4890189170837402,-0.706990659236908,-1.9670262336730957,-1.8929983377456665,-1.0912002325057983,-1.2532029151916504,-0.7926055788993835,-6.9879069328308105,-10.231431007385254,-8.516023635864258,-8.648231506347656,-1.8647600412368774,-1.7719095945358276,-1.9943453073501587,-2.0363471508026123,-17.488082885742188
ENSFCAP00000038891.1,-9.707646369934082,-18.583850860595703,-13.072315216064453,-18.652402877807617,-0.05857532098889351,0.4650293290615082,-0.44656792283058167,0.09047316759824753,0.9023373126983643,-0.36379531025886536,-0.17159278690814972,0.3886340260505676,-0.8717294931411743,-0.6828905344009399,-1.283841609954834,-0.897869884967804,0.022581443190574646,-0.18865427374839783,-0.8921484351158142,-0.7527450323104858,-0.9274725914001465,-0.752814769744873,-2.7375736236572266,-1.3209925889968872,-7.075069427490234,-9.895898818969727,-7.716709613800049,-7.810706615447998,-1.2742668390274048,-1.6417099237442017,-1.5607857704162598,-1.5287115573883057,-18.637924194335938
FBpp0308546,-9.420903205871582,-18.38617515563965,-12.986174583435059,-18.46139144897461,0.0480118989944458,0.49820464849472046,0.18820792436599731,-0.1358148604631424,0.5347145795822144,-0.369404137134552,0.23376862704753876,0.001357114058919251,-0.690719723701477,-0.835500180721283,-1.2393064498901367,0.309080570936203,-0.11020215600728989,-0.1278187334537506,-1.1521668434143066,-1.3185142278671265,-0.9391757249832153,-0.8816394805908203,-3.190160036087036,-2.2544991970062256,-7.705377101898193,-10.170860290527344,-7.982004165649414,-8.02747917175293,-1.3679914474487305,-1.6896649599075317,-1.629681944847107,-1.599314570426941,-18.395679473876953
ENSMUSP00000115860.1,-9.773965835571289,-18.393095016479492,-11.337533950805664,-18.403345108032227,0.5021103024482727,0.3987189531326294,-0.3859173357486725,-0.3141708970069885,0.42526015639305115,0.5689626336097717,-0.22652828693389893,0.007351699285209179,-1.114757776260376,-0.585560142993927,-0.7829189300537109,0.3839586675167084,0.15691930055618286,-0.6723969578742981,-1.4809223413467407,-2.1674039363861084,-1.283065915107727,-1.1796406507492065,-2.5638484954833984,-1.5269988775253296,-6.7946295738220215,-9.49298095703125,-8.284208297729492,-7.773801326751709,-1.5792709589004517,-1.6803323030471802,-1.7427059412002563,-1.8005895614624023,-18.38949203491211
