,features_0,features_1,features_2,features_3,features_4,features_5,features_6,features_7,features_8,features_9,features_10,features_11,features_12,features_13,features_14,features_15,features_16,features_17,features_18,features_19,features_20,features_21,features_22,features_23,features_24,features_25,features_26,features_27,features_28,features_29,features_30,features_31,features_32
3C5NA,-9.23785400390625,-18.62859344482422,-13.96060848236084,-18.657861709594727,0.6255277395248413,0.6044098138809204,-0.4487951695919037,0.3466852009296417,0.8998188376426697,-1.296454906463623,-0.3575742244720459,0.28431013226509094,-0.8422921895980835,-1.6532496213912964,-1.7594187259674072,-1.836700439453125,-0.5212607979774475,-0.5276448726654053,-1.213086724281311,-1.7093288898468018,-0.9852462410926819,-0.8321751952171326,-3.2567965984344482,-0.5737696886062622,-3.8051583766937256,-8.728565216064453,-6.000268936157227,-6.2645263671875,-0.9293149709701538,-1.4065470695495605,-1.2089992761611938,-1.2126595973968506,-18.739574432373047
4ZRLB,-9.553689956665039,-17.821096420288086,-11.684247970581055,-17.890047073364258,-0.2489946037530899,0.585300087928772,-0.7192065715789795,-0.4787213206291199,0.15077437460422516,0.03935632109642029,0.06192832812666893,-0.45860517024993896,-0.713570773601532,-0.2651997208595276,-0.961175262928009,-0.23639130592346191,-0.08930449187755585,-0.11508411914110184,-0.9216020107269287,-0.8272899985313416,-1.2402950525283813,-1.1281579732894897,-2.4502813816070557,-2.6277644634246826,-8.208314895629883,-10.592103958129883,-8.881486892700195,-8.744400024414062,-1.7266499996185303,-1.8188824653625488,-1.9395642280578613,-1.910940408706665,-17.80925178527832
2VXTI,-9.293931007385254,-17.955177307128906,-11.873085021972656,-18.00818634033203,0.32189491391181946,-0.44410446286201477,-0.756344199180603,-0.14142359793186188,0.4322628676891327,-0.31730571389198303,-0.450654000043869,-0.08588401973247528,-0.04655040428042412,-0.6843903064727783,-1.2420172691345215,0.30776354670524597,-0.5636658072471619,-0.17808112502098083,-0.5536384582519531,-0.9242025017738342,-0.8887967467308044,-1.0913387537002563,-2.7806618213653564,-1.5036470890045166,-5.988107204437256,-8.949814796447754,-7.498754024505615,-7.422466278076172,-1.4057707786560059,-1.5427204370498657,-1.5126157999038696,-1.5796071290969849,-17.997163772583008
6YPCT,-9.99625301361084,-18.247129440307617,-12.305192947387695,-18.28908348083496,0.20766262710094452,-0.527317464351654,-0.9956004023551941,-0.5018467903137207,0.40712112188339233,0.5787412524223328,-0.27335450053215027,-0.08101940155029297,-0.1333049237728119,0.09453321248292923,-0.4843510091304779,-0.029588880017399788,-0.2060033679008484,-0.051969997584819794,-1.0266473293304443,-1.395819902420044,-1.423609733581543,-1.3868906497955322,-3.258591890335083,-2.9811198711395264,-9.242465019226074,-10.59797477722168,-9.133950233459473,-8.768158912658691,-1.7556335926055908,-1.8179346323013306,-1.9101269245147705,-1.9173871278762817,-18.245681762695312
5D9GA,-9.301714897155762,-17.448909759521484,-10.848081588745117,-17.42687225341797,0.1334923356771469,-0.5261625647544861,-0.4511328935623169,-0.34273529052734375,-0.09192813187837601,0.08593056350946426,-0.5195375680923462,-0.4369669258594513,-0.4679018557071686,-0.31750112771987915,-0.7399073839187622,-0.233928844332695,-0.9511246681213379,-0.8723718523979187,-0.6456856727600098,-0.8263935446739197,-1.4297891855239868,-1.191762089729309,-1.843095302581787,-1.9733283519744873,-8.686381340026855,-10.330544471740723,-8.441143989562988,-8.599991798400879,-1.7149125337600708,-1.7107189893722534,-1.8323806524276733,-1.8757410049438477,-17.461280822753906
1UNLD,-8.644484519958496,-18.008678436279297,-13.606891632080078,-17.98612403869629,1.4619619846343994,0.8758495450019836,-0.22179166972637177,0.7358540892601013,1.3474663496017456,-1.6764552593231201,-0.5790557861328125,0.5191892981529236,-0.5922328233718872,-2.2568273544311523,-1.0465013980865479,-1.6340304613113403,-0.011552750132977962,-0.9287888407707214,-1.0923588275909424,-1.8808358907699585,-0.7179955840110779,-0.752828061580658,-2.893126964569092,-0.2818269431591034,-4.867981910705566,-9.144624710083008,-6.269370079040527,-6.557087421417236,-1.0419554710388184,-1.4125185012817383,-1.2223503589630127,-1.33103346824646,-18.05540657043457
3FPZA,-9.351151466369629,-18.257850646972656,-14.09241771697998,-18.30109977722168,0.2658402621746063,1.3292386531829834,0.0047930157743394375,0.4968315660953522,0.8068039417266846,-0.8915367126464844,-1.247582197189331,0.5270721316337585,-0.5668550729751587,-1.2177495956420898,-1.4706194400787354,-1.099591851234436,-0.85792076587677,-0.7146987318992615,-1.2297216653823853,-1.8143426179885864,-0.7936199307441711,-1.1899186372756958,-3.2837252616882324,-0.9958634972572327,-7.894711494445801,-10.354439735412598,-6.918952941894531,-7.75255012512207,-1.0985305309295654,-1.5824718475341797,-1.513385534286499,-1.521148443222046,-18.27543067932129
2RKLA,-8.999536514282227,-19.114803314208984,-11.940707206726074,-19.119922637939453,0.5688839554786682,0.7930254936218262,-0.9731026291847229,-0.19829049706459045,0.49964192509651184,-0.10611235350370407,-1.0034232139587402,0.1475832462310791,0.20878496766090393,-0.7979775667190552,-3.0288023948669434,0.2592335045337677,-0.5461138486862183,-0.2808506488800049,-1.3306703567504883,-1.0821332931518555,-0.851860761642456,-1.7632508277893066,-3.8163821697235107,-2.3878672122955322,-6.167865753173828,-9.785309791564941,-7.877396583557129,-7.750198841094971,-1.2667207717895508,-1.6544138193130493,-1.5596991777420044,-1.5970947742462158,-19.157615661621094
5N86A,-9.704399108886719,-18.713773727416992,-12.75652027130127,-18.76778793334961,1.0117460489273071,0.4523848295211792,-0.4007663428783417,0.3362189829349518,0.671707034111023,-0.806993305683136,-0.268775075674057,0.4718792140483856,-0.2676399052143097,-1.1898196935653687,-1.3844244480133057,-1.207431674003601,-0.3048568367958069,-0.39305153489112854,-0.7013184428215027,-1.3768037557601929,-0.9339211583137512,-1.394730567932129,-2.6311144828796387,-2.650428056716919,-6.915253162384033,-10.250823974609375,-7.914719581604004,-8.015838623046875,-1.4663255214691162,-1.6830480098724365,-1.62856924533844,-1.6793607473373413,-18.7014102935791
5MBXA,-8.411781311035156,-17.469318389892578,-14.108142852783203,-17.521026611328125,1.4748502969741821,1.5569096803665161,0.4277176558971405,0.9042233824729919,1.3878670930862427,-0.7358649373054504,-0.1059289500117302,0.9796822667121887,-0.6330868601799011,-1.8581433296203613,-1.5133333206176758,-1.325740098953247,-0.25806012749671936,-1.3812954425811768,-0.8349241018295288,-2.261946678161621,-0.5486086010932922,-0.796141505241394,-2.165875196456909,-0.15588445961475372,-5.317631244659424,-8.540268898010254,-5.158712863922119,-5.771910190582275,-0.660751461982727,-1.098576307296753,-0.9285773634910583,-1.0624033212661743,-17.535619735717773
