,score
0,0.025592348
1,0.6808138
2,0.9967769
3,0.6597631
4,0.9846267
5,0.9872787
6,0.7226025
7,0.9995016
8,0.56734294
9,0.2319186
10,0.9988028
11,0.9999964
12,0.98907125
13,0.08657824
14,0.9965412
15,0.9983505
16,0.97697884
17,0.24034503
18,0.5351186
19,0.99993026
20,0.013177689
21,0.99991024
22,0.993364
23,0.9902356
24,0.99327254
25,0.9999622
26,0.9225821
27,0.9763155
28,0.99838173
29,0.99903655
30,0.9997558
31,0.99984837
32,0.99959105
33,0.99881434
34,0.99988353
35,0.99265224
36,0.93716604
37,0.9985764
38,0.69643086
39,0.2475836
40,0.9548193
41,0.9992586
42,0.9998636
43,0.9895397
44,0.35373506
45,0.9991032
46,0.99490404
47,0.9966529
48,0.9537985
49,0.9999378
50,0.9467458
51,0.98400253
52,0.993123
53,0.99998415
54,0.9985043
55,0.9843754
56,0.9863171
57,0.9509068
58,0.9959353
59,0.99947184
60,0.9997888
61,0.11357499
62,0.9735362
63,0.58938885
64,0.7010506
65,0.81133944
66,0.8299681
67,0.9990989
68,0.999511
69,0.9977418
70,0.32329336
71,0.99975663
72,0.51580805
73,0.9224859
74,0.99786514
75,0.99925965
76,0.99682826
77,0.9904599
78,0.9678774
79,1.0
80,0.88340706
81,0.9972921
82,0.99839956
83,0.99688596
84,0.9999902
85,0.8018985
86,0.9999862
87,0.9980862
88,0.99995494
89,0.0045281034
90,0.98305327
91,0.99986696
92,0.9944259
93,0.9987827
94,0.99987674
95,0.999997
96,0.99994314
97,0.9876159
98,0.9973901
99,0.99737656
100,0.9999305
101,0.9887101
102,0.8077035
103,0.04971141
104,0.97988963
105,0.99851793
106,0.9956436
107,0.99854517
108,0.99998057
109,0.99878854
110,0.101237245
111,0.9733512
112,0.8577751
113,0.9298346
114,0.99975294
115,0.99519604
116,0.99995136
117,0.99787843
118,0.99943894
119,0.99110365
120,0.9985128
121,0.9859195
122,0.7972733
123,0.9716015
124,0.9846117
125,0.98400027
126,0.99994195
127,0.99012226
128,0.99861777
129,0.9704161
130,0.99899215
131,0.9756857
132,0.99456453
133,0.99812657
134,0.9313138
135,0.9993748
136,0.99705756
137,0.97464377
138,0.94198287
139,0.99908054
140,0.99782073
141,0.99986506
142,0.9985831
143,0.9632373
144,0.8467563
145,0.9935288
146,0.9971566
147,0.99623495
148,0.6787689
149,0.8255168
150,0.99996316
151,0.99862576
152,0.97600716
153,0.0078019574
154,0.6599054
155,0.9963104
156,0.9999951
157,0.9999914
158,0.99694294
159,0.99022335
160,0.99969745
161,0.9999999
162,0.98794544
163,0.9999088
164,0.9999999
165,0.99976426
166,0.99993765
167,0.9940655
168,0.9954723
169,0.82467496
170,0.93732667
171,0.99949646
172,0.9999926
173,0.9996269
174,0.9930856
175,0.8829538
176,0.98011786
177,0.999998
178,0.9950263
179,0.94636995
180,0.99864763
181,0.99504614
182,0.99956435
183,0.9869977
184,0.9977354
185,0.99916756
186,0.917372
187,0.99999344
188,0.9802611
189,0.1391744
190,0.9382692
191,0.96388376
192,0.88579124
193,0.98895043
194,0.99857235
195,0.98319536
196,1.0
197,0.99687934
198,0.99190885
199,0.9440866
200,0.9120285
201,0.9978969
202,0.8746929
203,0.7822227
204,0.9719372
205,0.9995307
206,0.9999161
207,0.99713045
208,0.9997769
209,0.9999149
210,0.99034846
211,0.83963215
212,0.9999896
213,0.21689989
214,0.9983658
215,0.03416691
216,0.99999666
217,0.9819741
218,0.93915117
219,0.9843188
220,0.99884003
221,0.996833
222,0.9998795
223,0.057613414
224,0.96959287
225,0.9839804
226,0.09261085
227,0.9997824
228,0.938579
229,0.13785267
230,0.5836184
231,0.8900169
232,0.9996965
233,0.47188222
234,0.99965227
235,0.99867356
236,0.99469346
237,0.9974268
238,0.99306506
239,0.9315671
240,0.3306154
241,0.99897635
242,0.98720783
243,0.81111854
244,0.9559217
245,0.9996842
246,0.862897
247,0.9997632
248,0.9996253
249,0.87899023
250,0.9967775
251,0.97932005
252,0.22400655
253,0.9913356
254,0.9208625
255,0.9999069
256,0.94501394
257,0.9997191
258,0.9218898
259,0.9898226
260,0.92201585
261,0.63429743
262,0.9959777
263,0.82203513
264,0.9188164
265,0.99937314
266,0.9861413
267,0.9745164
268,0.98461586
269,0.03071892
270,0.99008805
271,0.981503
272,0.9187239
273,0.9997838
274,0.95187974
275,0.93387043
276,0.9085273
277,0.94541055
278,0.9924832
279,0.9092178
280,0.9999759
281,0.9974867
282,0.24319616
283,0.9989667
284,0.9999665
285,0.9991178
286,0.31884646
287,0.9909633
288,0.9999651
289,0.99313617
290,0.9934629
291,0.98021704
292,0.98990285
293,0.9976156
294,0.99922276
295,0.9997774
296,0.99934775
297,0.99371284
298,0.99967384
299,0.9999715
300,0.987061
301,0.99885106
302,0.99998987
303,0.9966594
304,0.9259359
305,0.88487667
306,0.9971035
307,0.9993987
308,0.98182744
309,0.99980754
310,0.99955827
311,0.9999397
312,0.06064154
313,0.976733
314,0.9999025
315,0.92195046
316,0.98947173
317,0.9870912
318,0.3082405
319,0.9917989
320,0.47910708
321,0.9287735
322,0.9997166
323,0.9996803
324,0.9997204
325,0.979645
326,0.99474794
327,0.99494064
328,0.9996798
329,0.5617725
330,0.99658316
331,0.7902977
332,0.9994956
333,0.9901155
334,0.9986344
335,0.9987715
336,6.8567424e-06
337,0.9989574
338,0.017186137
339,0.14896959
340,0.17654897
341,0.032346033
342,0.89269084
343,0.9996896
344,0.99997103
345,0.99828464
346,0.99437153
347,0.05373446
348,0.9802067
349,0.99997973
350,0.99967813
351,0.99595886
352,0.9887496
353,0.99577796
354,0.86493516
355,0.9997931
356,0.23208386
357,0.9983235
358,0.99161774
359,0.9042234
360,0.99918455
361,0.9968665
362,0.99658245
363,0.94700456
364,0.99330056
365,0.9724038
366,0.16552345
367,0.99750453
368,0.9867855
369,0.9917829
370,0.99999666
371,0.91031647
372,0.99991024
373,0.8572239
374,0.9979328
375,0.9996592
376,0.99836856
377,0.9964496
378,0.0009594763
379,0.090174995
380,0.3087416
381,0.99935526
382,0.97796017
383,0.9897368
384,0.99785954
385,0.9996995
386,0.99260205
387,0.10529024
388,0.9991611
389,0.9996092
390,0.98936033
391,0.9968696
392,0.8557419
393,0.7048862
394,0.99881315
395,0.99683243
396,0.97495663
397,0.99831843
398,0.9999981
399,0.99994254
400,0.9999888
401,0.5886787
402,0.9817945
403,0.99914205
404,0.4830003
405,0.9999863
406,0.99993086
407,0.9128993
408,0.9939346
409,0.21702746
410,0.9994234
411,0.99713457
412,0.9673582
413,0.8462149
414,0.9979386
415,0.8558337
416,0.9990074
417,0.99791104
418,0.42037117
419,0.99999547
420,0.9808621
421,0.9999026
422,0.8120495
423,0.9358109
424,0.9460429
425,0.71303713
426,0.9987136
427,0.9987941
428,0.99996614
429,0.99842924
430,0.66256356
431,0.9951166
432,0.9939756
433,0.9852861
434,0.99489236
435,1.0
436,0.56951785
437,0.9704635
438,0.9962888
439,0.9993229
440,0.993457
441,0.81257457
442,0.9928523
443,0.9995839
444,0.9793506
445,0.91164917
446,0.97885907
447,0.03971997
448,0.9810792
449,0.9998516
450,0.9988789
451,0.99492043
452,0.94959927
453,0.9048222
454,0.9974567
455,1.0
456,0.83921283
457,0.8082088
458,0.9996697
459,0.997182
460,0.73100096
461,0.96690774
462,0.991614
463,0.99367696
464,0.99500316
465,0.8809516
466,0.99612147
467,0.9045005
468,0.9992747
469,0.90569925
470,0.9488444
471,0.07789558
472,0.99989855
473,0.98875684
474,0.8223392
475,0.9326761
476,0.9087833
477,0.99948335
478,0.9960336
479,0.99577373
480,0.87842673
481,0.90278006
482,0.98418427
483,0.059678305
484,0.9553579
485,0.16111258
486,0.9620911
487,0.16786121
488,0.9929188
489,0.9875115
490,0.99870825
491,0.9985991
492,0.6164299
493,0.22523363
494,0.9999995
495,0.99997866
496,0.999783
497,0.9906098
498,0.9634209
499,0.9929334
500,0.970455
501,0.9792002
502,0.9969586
503,0.99171877
504,0.9973724
505,0.8727374
506,1.0
507,0.97856253
508,0.9919057
509,0.41871953
510,0.8894178
511,0.99699366
512,0.9986743
513,0.99819237
514,0.9927651
515,0.93525064
516,0.99976546
517,0.99986863
518,0.09893745
519,0.9446486
520,0.9981238
521,0.70680296
522,0.9999912
523,0.018791113
524,0.98546195
525,0.99989617
526,0.003531853
527,0.9991055
