"","hydrophobicity.Group1","hydrophobicity.Group2","hydrophobicity.Group3","normwaalsvolume.Group1","normwaalsvolume.Group2","normwaalsvolume.Group3","polarity.Group1","polarity.Group2","polarity.Group3","polarizability.Group1","polarizability.Group2","polarizability.Group3","charge.Group1","charge.Group2","charge.Group3","secondarystruct.Group1","secondarystruct.Group2","secondarystruct.Group3","solventaccess.Group1","solventaccess.Group2","solventaccess.Group3"
"ENSCINP00000007207.3",0.409090909090909,0.365909090909091,0.225,0.4,0.348863636363636,0.251136363636364,0.240909090909091,0.323863636363636,0.435227272727273,0.323863636363636,0.425,0.251136363636364,0.159090909090909,0.713636363636364,0.127272727272727,0.451136363636364,0.213636363636364,0.335227272727273,0.3125,0.409090909090909,0.278409090909091
"ENSTRUP00000057393.1",0.311827956989247,0.379928315412186,0.308243727598566,0.43010752688172,0.362007168458781,0.207885304659498,0.326164874551971,0.340501792114695,0.333333333333333,0.347670250896057,0.444444444444444,0.207885304659498,0.111111111111111,0.792114695340502,0.0967741935483871,0.43010752688172,0.279569892473118,0.290322580645161,0.437275985663082,0.311827956989247,0.25089605734767
"ENSDARP00000132131.1",0.1875,0.635416666666667,0.177083333333333,0.651041666666667,0.177083333333333,0.171875,0.177083333333333,0.635416666666667,0.1875,0.494791666666667,0.333333333333333,0.171875,0.0677083333333333,0.864583333333333,0.0677083333333333,0.322916666666667,0.244791666666667,0.432291666666667,0.390625,0.1875,0.421875
"ENSGALP00000024462.4",0.26791277258567,0.389408099688474,0.342679127725857,0.38006230529595,0.358255451713396,0.261682242990654,0.361370716510903,0.342679127725857,0.29595015576324,0.299065420560748,0.439252336448598,0.261682242990654,0.127725856697819,0.794392523364486,0.0778816199376947,0.485981308411215,0.246105919003115,0.26791277258567,0.479750778816199,0.26791277258567,0.252336448598131
"ENSGALP00000064711.2",0.36,0.388571428571429,0.251428571428571,0.434285714285714,0.274285714285714,0.291428571428571,0.291428571428571,0.337142857142857,0.371428571428571,0.377142857142857,0.331428571428571,0.291428571428571,0.171428571428571,0.702857142857143,0.125714285714286,0.434285714285714,0.32,0.245714285714286,0.371428571428571,0.36,0.268571428571429
"ENSEBUP00000020994.1",0.326848249027237,0.365758754863813,0.307392996108949,0.295719844357977,0.408560311284047,0.295719844357977,0.33852140077821,0.260700389105058,0.400778210116732,0.22568093385214,0.478599221789883,0.295719844357977,0.11284046692607,0.75875486381323,0.1284046692607,0.552529182879377,0.256809338521401,0.190661478599222,0.381322957198444,0.326848249027237,0.291828793774319
"ENSP00000449396.1",0.346184738955823,0.432128514056225,0.221686746987952,0.444979919678715,0.337349397590361,0.217670682730924,0.242570281124498,0.386345381526104,0.371084337349398,0.326907630522088,0.455421686746988,0.217670682730924,0.116465863453815,0.738955823293173,0.144578313253012,0.461847389558233,0.202409638554217,0.33574297188755,0.352610441767068,0.346184738955823,0.301204819277108
"ENSP00000443808.1",0.210526315789474,0.473684210526316,0.315789473684211,0.484210526315789,0.273684210526316,0.242105263157895,0.326315789473684,0.452631578947368,0.221052631578947,0.357894736842105,0.4,0.242105263157895,0.0947368421052632,0.894736842105263,0.0105263157894737,0.463157894736842,0.263157894736842,0.273684210526316,0.515789473684211,0.210526315789474,0.273684210526316
"ENSFCAP00000038891.1",0.373737373737374,0.368686868686869,0.257575757575758,0.393939393939394,0.318181818181818,0.287878787878788,0.303030303030303,0.308080808080808,0.388888888888889,0.328282828282828,0.383838383838384,0.287878787878788,0.131313131313131,0.742424242424242,0.126262626262626,0.434343434343434,0.303030303030303,0.262626262626263,0.343434343434343,0.373737373737374,0.282828282828283
"FBpp0308546",0.36150234741784,0.408450704225352,0.230046948356808,0.417840375586854,0.314553990610329,0.267605633802817,0.258215962441315,0.36150234741784,0.380281690140845,0.366197183098592,0.366197183098592,0.267605633802817,0.15962441314554,0.737089201877934,0.103286384976526,0.469483568075117,0.211267605633803,0.31924882629108,0.413145539906103,0.36150234741784,0.225352112676056
"ENSMUSP00000115860.1",0.400641025641026,0.371794871794872,0.227564102564103,0.403846153846154,0.381410256410256,0.21474358974359,0.233974358974359,0.342948717948718,0.423076923076923,0.317307692307692,0.467948717948718,0.21474358974359,0.128205128205128,0.698717948717949,0.173076923076923,0.564102564102564,0.173076923076923,0.262820512820513,0.336538461538462,0.400641025641026,0.262820512820513
"FBpp0292150",0.297909407665505,0.39198606271777,0.310104529616725,0.411149825783972,0.329268292682927,0.259581881533101,0.348432055749129,0.337979094076655,0.313588850174216,0.344947735191638,0.395470383275261,0.259581881533101,0.116724738675958,0.775261324041812,0.10801393728223,0.393728222996516,0.308362369337979,0.297909407665505,0.430313588850174,0.297909407665505,0.271777003484321
"ENSELUP00000034739.1",0.359382311651848,0.380907814693496,0.259709873654656,0.41553579784745,0.348151614412728,0.236312587739822,0.278427702386523,0.337856808610201,0.383715489003276,0.315395414131961,0.448291998128217,0.236312587739822,0.137108095460927,0.72671970051474,0.136172204024333,0.488535329901731,0.196069255966308,0.315395414131961,0.364529714553112,0.359382311651848,0.27608797379504
"T05A10.1m",0.378584229390681,0.382168458781362,0.239247311827957,0.398745519713262,0.403225806451613,0.198028673835125,0.254480286738351,0.334677419354839,0.41084229390681,0.32258064516129,0.479390681003584,0.198028673835125,0.092741935483871,0.811379928315412,0.0958781362007168,0.5,0.207885304659498,0.292114695340502,0.325268817204301,0.378584229390681,0.296146953405018
"ENSP00000464036.2",0.465408805031447,0.325786163522013,0.208805031446541,0.335849056603774,0.373584905660377,0.290566037735849,0.230188679245283,0.276729559748428,0.493081761006289,0.280503144654088,0.428930817610063,0.290566037735849,0.183647798742138,0.592452830188679,0.223899371069182,0.567295597484277,0.166037735849057,0.266666666666667,0.291823899371069,0.465408805031447,0.242767295597484
"YDL040C_mRNA",0.392271662763466,0.31615925058548,0.291569086651054,0.325526932084309,0.373536299765808,0.300936768149883,0.346604215456674,0.247072599531616,0.40632318501171,0.282201405152225,0.416861826697892,0.300936768149883,0.155737704918033,0.704918032786885,0.139344262295082,0.488290398126464,0.245901639344262,0.265807962529274,0.384074941451991,0.392271662763466,0.223653395784543
"ENSP00000371859.2",0.417095115681234,0.322622107969152,0.260282776349614,0.36439588688946,0.375964010282776,0.259640102827764,0.281491002570694,0.281491002570694,0.437017994858612,0.294344473007712,0.446015424164524,0.259640102827764,0.163881748071979,0.662596401028278,0.173521850899743,0.502570694087404,0.223650385604113,0.273778920308483,0.34318766066838,0.417095115681234,0.239717223650386
